country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Textile Engineering and Fibre Science question paper,https://gate2026.iitg.ac.in/doc/download/2025/TF2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Production and Industrial Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/PI2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Petroleum Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/PE2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Naval Architecture and Marine Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/NM2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Mining Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/MN2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Metallurgical Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/MT2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Mechanical Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/ME2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Mathematics question paper,https://gate2026.iitg.ac.in/doc/download/2025/MA2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Life Sciences question paper,https://gate2026.iitg.ac.in/doc/download/2025/XL2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Instrumentation Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/IN2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Humanities & Social Sciences - Sociology question paper,https://gate2026.iitg.ac.in/doc/download/2025/XH-C6-2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Humanities & Social Sciences - Psychology question paper,https://gate2026.iitg.ac.in/doc/download/2025/XH-C5-2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Humanities & Social Sciences - Philosophy question paper,https://gate2026.iitg.ac.in/doc/download/2025/XH-C4-2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Humanities & Social Sciences - Linguistics question paper,https://gate2026.iitg.ac.in/doc/download/2025/XH-C3-2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Humanities & Social Sciences - English question paper,https://gate2026.iitg.ac.in/doc/download/2025/XH-C2-2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Humanities & Social Sciences - Economics question paper,https://gate2026.iitg.ac.in/doc/download/2025/XH-C1-2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Geomatics Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/GE2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Environmental Science & Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/ES2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Engineering Sciences question paper,https://gate2026.iitg.ac.in/doc/download/2025/XE2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Electronics and Communication Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/EC2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Electrical Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/EE2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Ecology and Evolution question paper,https://gate2026.iitg.ac.in/doc/download/2025/EY2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Data Science and Artificial Intelligence question paper,https://gate2026.iitg.ac.in/doc/download/2025/DA2025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Computer Science and Information Technology question paper,https://gate2026.iitg.ac.in/doc/download/2025/CS12025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Computer Science and Information Technology question paper,https://gate2026.iitg.ac.in/doc/download/2025/CS22025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
India,GA/EM/DM,general aptitude;engineering mathematics;discrete mathematics;engineering entrance;exam;past-year,A,National examination archive,GATE official downloads archive — IIT Guwahati,https://gate2026.iitg.ac.in/download.html,GATE 2025 — Civil Engineering question paper,https://gate2026.iitg.ac.in/doc/download/2025/CE22025.pdf,Exam paper,English,Official GATE question paper from the IIT Guwahati downloads archive. Includes General Aptitude plus paper-specific engineering mathematics or discrete-mathematics content where applicable.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
