country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Republic of Korea,DM/GA,"olympiad,problems,solutions",B,Supplemental archive,South Korea olympiad problem collection,https://imomath.com/index.cgi?page=collectionKor,South Korean olympiad problem collection,https://imomath.com/index.cgi?page=collectionKor,Problem archive,English,Reputable supplemental archive listing Korean Mathematical Olympiad rounds and problem or solution links. It is not a first-party KMO publisher and is labeled accordingly.,Free public archive,Verified free supplemental source; not first-party,Yes
Republic of Korea,DM/GA,"olympiad,geometry,solutions",B,Supplemental archive,South Korea final-round geometry collection,https://imogeometry.blogspot.com/p/final-round-korea-mo.html,South Korean olympiad geometry problem collection,https://imogeometry.blogspot.com/p/final-round-korea-mo.html,Problem archive,English,"Supplemental educator archive of selected South Korean olympiad geometry problems and solutions. Use as discovery support, not as an official national archive.",Free public archive,Verified free supplemental source; not first-party,Yes
Singapore,GA/DM,"contest,quantitative reasoning,MCQ",A,Competition organizer,SIMCC Singapore Math Challenge past papers,https://form.simcc.org/2023-smc-past-year-papers/,2023 Singapore Math Challenge past-year paper gateway,https://form.simcc.org/2023-smc-past-year-papers/,Exam archive,English,"Official SIMCC portal exposes public 2023 papers for Kindergarten 2 through Secondary 4/5 and a direct answer-key download. The page contains a member login area, but the listed paper links are publicly visible.",Free public archive,Access caveat: automated verification returned HTTP 403; browser access may still work,Yes
Singapore,GA/DM,"contest,quantitative reasoning,MCQ",A,Competition organizer,SIMCC Singapore Math Challenge past papers,https://form.simcc.org/2023-smc-past-year-papers/,2023 Singapore Math Challenge Secondary 1 paper,https://simcc.org/wp-content/uploads/2025/03/2023-Singapore-Math-Challenge-Grade-7-Sec-1-v2.pdf,Exam paper,English,Direct public PDF linked by the official SIMCC paper page for the Secondary 1 or Grade 7 level.,Free public PDF,Verified free first-party source,Yes
Singapore,GA/DM,"contest,answers,solutions",A,Competition organizer,SIMCC Singapore Math Challenge past papers,https://form.simcc.org/2023-smc-past-year-papers/,2023 Singapore Math Challenge answer key,https://simcc.org/wp-content/uploads/2025/07/2023-SMC-Answer-Key-Final-V2.xlsx,Solutions and answers,English,Direct public answer-key workbook linked by the official SIMCC paper page.,Free public file,Verified free first-party source,Yes
South Africa,GA/DM,"olympiad,problems,solutions",A,Mathematics foundation,South African Mathematics Foundation past papers,http://www.samf.ac.za/en/past-papers,South African mathematics past-paper archive,http://www.samf.ac.za/en/past-papers,Exam archive,English,National mathematics foundation archive with past competition papers and related answer materials. The source is English-facing and intended for mathematics enrichment and contest preparation.,Free public archive,Verified free first-party source,Yes
South Africa,GA/DM,"olympiad,problems,answers",A,Competition organizer,SA Olympiads past papers,https://saolympiads.co.za/past-papers/,South African Olympiads question and answer archive,https://saolympiads.co.za/past-papers/,Exam archive,English,"Official SA Olympiads archive exposes public questions and answers through subject, type, and year filters.",Free public archive,Verified free first-party source,Yes
South Africa,GA/EM,"admissions,mathematics,exams",B,Government education department,South Africa NSC past examination papers,https://www.education.gov.za/Informationfor/Learners/NSCExaminations/NSCPastExaminationpapers.aspx,National Senior Certificate mathematics past papers,https://www.education.gov.za/Informationfor/Learners/NSCExaminations/NSCPastExaminationpapers.aspx,Exam archive,English,"South African Department of Basic Education archive for past national examination papers, including mathematics subjects. Import only publicly reachable subject files from the government page.",Free public archive,Access caveat: automated verification returned HTTP 403; browser access may still work,Yes
China,DM/GA,"olympiad,problems,solutions",B,Supplemental archive,Chinese Mathematical Olympiad problem collection,https://imomath.com/index.cgi?page=collectionChn,Chinese Mathematical Olympiad problem collection,https://imomath.com/index.cgi?page=collectionChn,Problem archive,English,Reputable supplemental archive listing Chinese Mathematical Olympiad problems and solutions. It is not a first-party Chinese publisher and is labeled accordingly.,Free public archive,Verified free supplemental source; not first-party,Yes
China,DM/GA,"olympiad,problems,solutions",B,Supplemental archive,Chinese Mathematical Olympiad problems and solutions,https://artofproblemsolving.com/wiki/index.php/Chinese_MO_Problems_and_Solutions,Chinese Mathematical Olympiad archive,https://artofproblemsolving.com/wiki/index.php/Chinese_MO_Problems_and_Solutions,Problem archive,English,Community-maintained supplemental index of Chinese Mathematical Olympiad problem and solution pages. Use as a discovery layer and not as an official national archive.,Free public archive,Access caveat: automated verification returned HTTP 403; browser access may still work; not first-party,Yes
