country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2020 (The ICPC Northwestern Europe Regional Contest) official problem archive,https://2020.nwerc.eu/,NWERC 2020 Problem Set (PDF),https://2020.nwerc.eu/files/nwerc2020problems.pdf,Problem set,English,"Official ICPC Northwestern Europe Regional Contest (NWERC) problem set published by the contest organizers; Ukraine competes in the NWERC region. ICPC Europe Regionals 2020 / NWERC problem set (24 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2021 (The ICPC Northwestern Europe Regional Contest) official problem archive,https://2021.nwerc.eu/,NWERC 2021 Problem Set (PDF),https://2021.nwerc.eu/files/nwerc2021problems.pdf,Problem set,English,"Official ICPC Northwestern Europe Regional Contest (NWERC) problem set published by the contest organizers; Ukraine competes in the NWERC region. NWERC 2021 problem set (26 pages, English, CC BY-SA licensed).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2022 (The ICPC Northwestern Europe Regional Contest) official problem archive,https://2022.nwerc.eu/,NWERC 2022 Problem Set (PDF),https://2022.nwerc.eu/main/problem-set.pdf,Problem set,English,"Official ICPC Northwestern Europe Regional Contest (NWERC) problem set published by the contest organizers; Ukraine competes in the NWERC region. NWERC 2022 problem set (26 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2023 (The ICPC Northwestern Europe Regional Contest) official problem archive,https://2023.nwerc.eu/,NWERC 2023 Problem Set (PDF),https://2023.nwerc.eu/main/problem-set.pdf,Problem set,English,"Official ICPC Northwestern Europe Regional Contest (NWERC) problem set published by the contest organizers; Ukraine competes in the NWERC region. NWERC 2023 problem set (26 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2024 (The ICPC Northwestern Europe Regional Contest) official problem archive,https://2024.nwerc.eu/,NWERC 2024 Problem Set (PDF),https://2024.nwerc.eu/main/problem-set.pdf,Problem set,English,"Official ICPC Northwestern Europe Regional Contest (NWERC) problem set published by the contest organizers; Ukraine competes in the NWERC region. NWERC 2024 problem set (28 pages, English, CC BY-SA 4.0).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2025 (The ICPC Northwestern Europe Regional Contest) official problem archive,https://2025.nwerc.eu/,NWERC 2025 Problem Set (PDF),https://2025.nwerc.eu/problem-set.pdf,Problem set,English,"Official ICPC Northwestern Europe Regional Contest (NWERC) problem set published by the contest organizers; Ukraine competes in the NWERC region. NWERC 2025 problem set (26 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2022 (The ICPC Northwestern Europe Regional Contest) official solution editorial,https://2022.nwerc.eu/,NWERC 2022 Solutions Editorial (PDF),https://2022.nwerc.eu/main/solutions.pdf,Solution editorial,English,"Official NWERC solution editorial (jury solutions presentation) published by the contest organizers; English with detailed algorithm solutions. NWERC 2022 solution editorial (160 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2023 (The ICPC Northwestern Europe Regional Contest) official solution editorial,https://2023.nwerc.eu/,NWERC 2023 Solutions Editorial (PDF),https://2023.nwerc.eu/main/solutions.pdf,Solution editorial,English,"Official NWERC solution editorial (jury solutions presentation) published by the contest organizers; English with detailed algorithm solutions. NWERC 2023 solution editorial (113 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2024 (The ICPC Northwestern Europe Regional Contest) official solution editorial,https://2024.nwerc.eu/,NWERC 2024 Solutions Editorial (PDF),https://2024.nwerc.eu/main/solutions.pdf,Solution editorial,English,"Official NWERC solution editorial (jury solutions presentation) published by the contest organizers; English with detailed algorithm solutions. NWERC 2024 solution editorial (34 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Ukraine,GA,algorithms;competitive programming;data structures,A,ICPC regional contest archive,NWERC 2025 (The ICPC Northwestern Europe Regional Contest) official solution editorial,https://2025.nwerc.eu/,NWERC 2025 Solutions Editorial (PDF),https://2025.nwerc.eu/solutions.pdf,Solution editorial,English,"Official NWERC solution editorial (jury solutions presentation) published by the contest organizers; English with detailed algorithm solutions. NWERC 2025 solution editorial (31 pages, English).",Free public web resource,HTTP 200 · verified 2026-08-24,yes
