country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Kenya,GA,abstract algebra;groups;rings;functions;algebraic structures;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3275 Algebraic Structures examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/03/SMA-3275-ALGEBRAIC-STRUCTURES-1-2.pdf,Meru University of Science and Technology — SMA 3275 Algebraic Structures University Examination 2022/2023,https://exampapers.must.ac.ke/wp-content/uploads/2024/03/SMA-3275-ALGEBRAIC-STRUCTURES-1-2.pdf,University past examination paper,English,"Public MUST examination PDF; substantive English questions on functions, algebraic structures, groups and related abstract algebra; local text extraction confirmed exam body.",Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,GA,abstract algebra;groups;normal subgroups;cosets;cyclic groups;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3350 Group Theory I examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3350-GROUP-THEORY-I.pdf,Meru University of Science and Technology — SMA 3350 Group Theory I University Examination 2023/2024,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3350-GROUP-THEORY-I.pdf,University past examination paper,English,"Public MUST examination PDF; substantive English questions on normal subgroups, cosets, cyclic groups and group theory; local text extraction confirmed exam body.",Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,GA,abstract algebra;rings;integral domains;division rings;ideals;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3353 Ring Theory examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3353-RING-THEORY.pdf,Meru University of Science and Technology — SMA 3353 Ring Theory University Examination 2023/2024,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3353-RING-THEORY.pdf,University past examination paper,English,"Public MUST examination PDF; substantive English questions on integral domains, division rings, ideals and ring theory; local text extraction confirmed exam body.",Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,engineering mathematics;calculus;limits;differentiation;integration;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3112 Calculus I examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3112-CALCULUS-I.pdf,Meru University of Science and Technology — SMA 3112 Calculus I University Examination 2023/2024,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3112-CALCULUS-I.pdf,University past examination paper,English,"Public MUST examination PDF; substantive English questions on domains, functions, limits, differentiation and calculus; local text extraction confirmed exam body.",Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,engineering mathematics;calculus;integration;techniques;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3152 Calculus II examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3152-CALCULUS-II.pdf,Meru University of Science and Technology — SMA 3152 Calculus II University Examination 2023/2024,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SMA-3152-CALCULUS-II.pdf,University past examination paper,English,Public MUST examination PDF; substantive English questions on advanced calculus and integration techniques; local text extraction confirmed exam body.,Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,engineering mathematics;calculus;sequences;series;multivariable;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3200 Calculus III examination,https://exampapers.must.ac.ke/wp-content/uploads/2025/09/SMA-3200-CALCULUS-III-1.pdf,Meru University of Science and Technology — SMA 3200 Calculus III University Examination 2024/2025,https://exampapers.must.ac.ke/wp-content/uploads/2025/09/SMA-3200-CALCULUS-III-1.pdf,University past examination paper,English,Public MUST examination PDF; substantive English questions on advanced calculus topics; local text extraction confirmed exam body.,Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,linear algebra;matrices;vector spaces;eigenvalues;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3211 Linear Algebra I examination,https://exampapers.must.ac.ke/wp-content/uploads/2025/09/SMA-3211-LINEAR-ALGEBRA-I-1.pdf,Meru University of Science and Technology — SMA 3211 Linear Algebra I University Examination 2024/2025,https://exampapers.must.ac.ke/wp-content/uploads/2025/09/SMA-3211-LINEAR-ALGEBRA-I-1.pdf,University past examination paper,English,Public MUST examination PDF; substantive English questions on linear algebra topics; local text extraction confirmed exam body.,Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,engineering mathematics;differential equations;ODEs;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3302 Ordinary Differential Equations I examination,https://exampapers.must.ac.ke/wp-content/uploads/2025/09/SMA-3302-ORDINARY-DIFFERENTIAL-EQUATIONS-I-1.pdf,Meru University of Science and Technology — SMA 3302 Ordinary Differential Equations I University Examination 2024/2025,https://exampapers.must.ac.ke/wp-content/uploads/2025/09/SMA-3302-ORDINARY-DIFFERENTIAL-EQUATIONS-I-1.pdf,University past examination paper,English,Public MUST examination PDF; substantive English questions on ordinary differential equations; local text extraction confirmed exam body.,Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,engineering mathematics;differential equations;engineering mathematics IV;university exam questions,A,First-party university repository,Meru University of Science and Technology — SME 3250 Differential Equations / Mathematics IV examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SME-3250-DIFFERENTIAL-EQUATIONS-MATHEMATICS-IV.pdf,Meru University of Science and Technology — SME 3250 Differential Equations / Mathematics IV University Examination 2023/2024,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SME-3250-DIFFERENTIAL-EQUATIONS-MATHEMATICS-IV.pdf,University past examination paper,English,Public MUST engineering examination PDF; substantive English questions on differential equations; local text extraction confirmed exam body.,Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,EM,engineering mathematics;geometry;coordinate geometry;university exam questions,A,First-party university repository,Meru University of Science and Technology — SME 3200 Engineering Mathematics III / Geometry examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SME-3200-ENGINEERING-MATHEMATICS-III-GEOMETRY.pdf,Meru University of Science and Technology — SME 3200 Engineering Mathematics III / Geometry University Examination 2023/2024,https://exampapers.must.ac.ke/wp-content/uploads/2024/06/SME-3200-ENGINEERING-MATHEMATICS-III-GEOMETRY.pdf,University past examination paper,English,"Public MUST engineering examination PDF; substantive English questions on lines, planes and geometry; local text extraction confirmed exam body.",Free public PDF,HTTP 200 · verified 2026-08-24,Yes
Kenya,DM,discrete mathematics;sets;logic;Boolean algebra;functions;university exam questions,A,First-party university repository,Meru University of Science and Technology — SMA 3212 Discrete Structures examination,https://exampapers.must.ac.ke/wp-content/uploads/2024/03/SMA-3212-DISCRETE-STRUCTURES-1-2.pdf,Meru University of Science and Technology — SMA 3212 Discrete Structures University Examination 2022/2023,https://exampapers.must.ac.ke/wp-content/uploads/2024/03/SMA-3212-DISCRETE-STRUCTURES-1-2.pdf,University past examination paper,English,Public MUST examination PDF; substantive English questions on discrete structures; local text extraction confirmed exam body.,Free public PDF,HTTP 200 · verified 2026-08-24,Yes
